Country,Currency,Code,Start date,End date,Conversion,Note
PL,Lithuanian Litas (Pre-World War II),LTB,01/10/1939,01/07/1941,1 LTB = 2 PLO,Lithuanian occupation
PL,Zloty (Post-World War II),PLL,01/03/1945,28/10/1950,1 PLL = 1 PLK = 1 SUG = 0.5 DER,
PL,"""Heavy"" Zloty",PLZ,28/10/1950,31/12/1994,1 PLZ = 100/3 PLL,
PL,Zloty,PLN,01/01/1995,,"1 PLN = 10,000 PLZ",
PT,Portuguese Real,PTR,1430,22/05/1911,,
PT,Portuguese Escudo,PTE,22/05/1911,28/02/2002,1 PTE = 1000 PTR,
PT,Euro,EUR,01/01/1999,,1 EUR = 200.482 PTE,
RO,Romanian Silver Leu,ROS,1867-04-14,15/08/1947,1 ROS = 1 FRG,
RO,Romanian Socialist Leu,ROR,15/08/1947,28/01/1952,"1 ROR = 20,000 ROS",
RO,Romanian Old Leu,ROL,28/01/1952,01/07/2005,1 ROL = 20 ROR,
RO,Romanian Leu,RON,01/07/2005,,"1 RON = 10,000 ROL",
SM,Italian Lira,ITL,1862-08-24,28/02/2002,1 ITL = 1 FRG,
SM,Euro,EUR,01/01/1999,,1 EUR = 1936.27 ITL,
RS,Ottoman Empire Lira,XOL,1844,1873,,Parts of Serbia (Turkish)
RS,Serbian Dinar (Pre-World War I),SRD,1873,1916,1 SRD = 1 FRG ≈ 0.044 XOL,
RS,Austro-Hungarian Kronen,ATK,1916,12/11/1918,1 ATK = 0.5 ATG,Austro-Hungarian occupation
RS,Yugoslavian Kronen,YUK,12/11/1918,1919,1 YUK = 1 ATK = 0.25 SRD,Yugoslavia
RS,Yugoslavian Dinar (Pre-World War II),YUS,25/12/1918,17/04/1941,1 YUS = 4 YUK,Yugoslavia
RS,Italian Lira,ITL,17/04/1941,1943,1 ITL = 100/38 YUS,Italian occupation
RS,Romanian Silver Leu,ROS,17/04/1941,1944,1 ROS = 1/3 YUS,Romanian occupation
RS,Hungarian Pengő,HUP,17/04/1941,1944,1 HUP = 10 YUS,Hungarian occupation
RS,Serbian Dinar (World War II),SRW,17/04/1941,30/04/1945,1 SRW = 0.38 ITL = 0.05 DER = 3 ROS = 0.1 HUP = 1 YUS,German occupation
RS,Yugoslav Federation Dinar,YUF,30/04/1945,31/12/1965,1 YUF = 20 SRW = 20 YUS,Yugoslavia
